"Partner Name ","Dreamlist ","Point of contact ",Who is reaching out?,Status
"Boys Club ",Deana Burke (../../../Document%20Archive%20816b78f2e0c6400e8ce641cdd07e5402/Dream%20DAO%20Season%20(Phase)%201%20documents%2097fe493ea7a247a380a72ffed4745ca0/Dream%20DAO%20Phase%201%20documents%20458523ebbf1d4e06baf2666155389704/SkywalkerZ%20Drop%20#2%20Partners%20Database%20248202e2fb3b478590291b681e5f0755/Dreamlist%20b6abaf02d0954147865848dde5eee4bf/Deana%20Burke%20381eba0162d74721924c21e47b002c32.csv),"Deana ",,Not reached out
"Gitcoin ",,Gary Sheng,Tim,Not reached out
"Celo ",Deana Burke (../../../Document%20Archive%20816b78f2e0c6400e8ce641cdd07e5402/Dream%20DAO%20Season%20(Phase)%201%20documents%2097fe493ea7a247a380a72ffed4745ca0/Dream%20DAO%20Phase%201%20documents%20458523ebbf1d4e06baf2666155389704/SkywalkerZ%20Drop%20#2%20Partners%20Database%20248202e2fb3b478590291b681e5f0755/Dreamlist%20b6abaf02d0954147865848dde5eee4bf/Deana%20Burke%20381eba0162d74721924c21e47b002c32.csv),"Deana ",,Not reached out
Surge,Kim (surge) (../../../Document%20Archive%20816b78f2e0c6400e8ce641cdd07e5402/Dream%20DAO%20Season%20(Phase)%201%20documents%2097fe493ea7a247a380a72ffed4745ca0/Dream%20DAO%20Phase%201%20documents%20458523ebbf1d4e06baf2666155389704/SkywalkerZ%20Drop%20#2%20Partners%20Database%20248202e2fb3b478590291b681e5f0755/Dreamlist%20b6abaf02d0954147865848dde5eee4bf/Kim%20(surge)%2050592095a5904907acebcb7910bcf4e9.csv),"Kim ",,Not reached out
"Cohere Network ",Marcus (Cohere Network)  (../../../Document%20Archive%20816b78f2e0c6400e8ce641cdd07e5402/Dream%20DAO%20Season%20(Phase)%201%20documents%2097fe493ea7a247a380a72ffed4745ca0/Dream%20DAO%20Phase%201%20documents%20458523ebbf1d4e06baf2666155389704/SkywalkerZ%20Drop%20#2%20Partners%20Database%20248202e2fb3b478590291b681e5f0755/Dreamlist%20b6abaf02d0954147865848dde5eee4bf/Marcus%20(Cohere%20Network)%20413699329870423f9cd17281b9c3bae8.csv),"Marcus ",,Not reached out
Tallyxyz,Dennison  (../../../Document%20Archive%20816b78f2e0c6400e8ce641cdd07e5402/Dream%20DAO%20Season%20(Phase)%201%20documents%2097fe493ea7a247a380a72ffed4745ca0/Dream%20DAO%20Phase%201%20documents%20458523ebbf1d4e06baf2666155389704/SkywalkerZ%20Drop%20#2%20Partners%20Database%20248202e2fb3b478590291b681e5f0755/Dreamlist%20b6abaf02d0954147865848dde5eee4bf/Dennison%202d5b72e0ef9a4cddb3aab534a486e181.csv),"Dennison ",,Not reached out
"Her House ",Alexa  (../../../Document%20Archive%20816b78f2e0c6400e8ce641cdd07e5402/Dream%20DAO%20Season%20(Phase)%201%20documents%2097fe493ea7a247a380a72ffed4745ca0/Dream%20DAO%20Phase%201%20documents%20458523ebbf1d4e06baf2666155389704/SkywalkerZ%20Drop%20#2%20Partners%20Database%20248202e2fb3b478590291b681e5f0755/Dreamlist%20b6abaf02d0954147865848dde5eee4bf/Alexa%203f76594b9c254861ada69e1b8a317641.csv),"Alexa ",,Not reached out
"Climate DAO ",Eliot (Climate DAO)  (../../../Document%20Archive%20816b78f2e0c6400e8ce641cdd07e5402/Dream%20DAO%20Season%20(Phase)%201%20documents%2097fe493ea7a247a380a72ffed4745ca0/Dream%20DAO%20Phase%201%20documents%20458523ebbf1d4e06baf2666155389704/SkywalkerZ%20Drop%20#2%20Partners%20Database%20248202e2fb3b478590291b681e5f0755/Dreamlist%20b6abaf02d0954147865848dde5eee4bf/Eliot%20(Climate%20DAO)%20759f4cff3393447c98fcd345115a635b.csv),Eliot,,Not reached out
"RnDAO ",Daniel (RNDAO)  (../../../Document%20Archive%20816b78f2e0c6400e8ce641cdd07e5402/Dream%20DAO%20Season%20(Phase)%201%20documents%2097fe493ea7a247a380a72ffed4745ca0/Dream%20DAO%20Phase%201%20documents%20458523ebbf1d4e06baf2666155389704/SkywalkerZ%20Drop%20#2%20Partners%20Database%20248202e2fb3b478590291b681e5f0755/Dreamlist%20b6abaf02d0954147865848dde5eee4bf/Daniel%20(RNDAO)%209b1544cb6b8344ff977c987523abb2bd.csv),"Daniel ",,Not reached out
"Friend Forest ",Mae (Friend Forest)  (../../../Document%20Archive%20816b78f2e0c6400e8ce641cdd07e5402/Dream%20DAO%20Season%20(Phase)%201%20documents%2097fe493ea7a247a380a72ffed4745ca0/Dream%20DAO%20Phase%201%20documents%20458523ebbf1d4e06baf2666155389704/SkywalkerZ%20Drop%20#2%20Partners%20Database%20248202e2fb3b478590291b681e5f0755/Dreamlist%20b6abaf02d0954147865848dde5eee4bf/Mae%20(Friend%20Forest)%20b2f35ea8a1a6478ab70ef390652e48a4.csv),Mae,,Not reached out
